2022-02-24 02:11:07.847243+00:00 nozzle: 3 | time: 1645668667.8471997 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.847511+00:00 nozzle: 0 | time: 1645668667.8474686 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.847787+00:00 nozzle: 0 | time: 1645668667.8477488 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.848061+00:00 nozzle: 3 | time: 1645668667.8480175 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.848322+00:00 nozzle: 2 | time: 1645668667.8482778 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.848582+00:00 nozzle: 1 | time: 1645668667.848543 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.848838+00:00 nozzle: 2 | time: 1645668667.848798 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.849104+00:00 nozzle: 3 | time: 1645668667.849065 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.849355+00:00 nozzle: 2 | time: 1645668667.8493168 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.849602+00:00 nozzle: 1 | time: 1645668667.8495643 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.849851+00:00 nozzle: 1 | time: 1645668667.8498137 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.850156+00:00 nozzle: 2 | time: 1645668667.8501158 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.850417+00:00 nozzle: 1 | time: 1645668667.8503766 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.850677+00:00 nozzle: 3 | time: 1645668667.8506365 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.850898+00:00 nozzle: 1 | time: 1645668667.8508682 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.851114+00:00 nozzle: 1 | time: 1645668667.8510842 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.851332+00:00 nozzle: 3 | time: 1645668667.8513 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.851567+00:00 nozzle: 1 | time: 1645668667.8515205 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.852048+00:00 nozzle: 2 | time: 1645668667.8519714 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.852622+00:00 nozzle: 2 | time: 1645668667.8525422 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.853034+00:00 nozzle: 3 | time: 1645668667.8529632 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.853669+00:00 nozzle: 2 | time: 1645668667.8535726 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.854152+00:00 nozzle: 2 | time: 1645668667.8540726 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.854592+00:00 nozzle: 1 | time: 1645668667.8545227 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.855116+00:00 nozzle: 1 | time: 1645668667.8550477 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.855558+00:00 nozzle: 2 | time: 1645668667.85549 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.855984+00:00 nozzle: 2 | time: 1645668667.8559158 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.856405+00:00 nozzle: 1 | time: 1645668667.8563344 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.856925+00:00 nozzle: 2 | time: 1645668667.856825 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.857392+00:00 nozzle: 3 | time: 1645668667.8573248 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.857715+00:00 nozzle: 1 | time: 1645668667.8576694 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.858011+00:00 nozzle: 3 | time: 1645668667.85797 | location 0 | delay: 0 | duration: 0.15
